epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1507.33,0.28791,0.33955,0.22784,0.84115,0.99382,1,0.99483,0.99266,0.99382,1,0.99483,0.98449,0.20402,0.2831,0.18122,0.77132,0.000372683,0.000372683,0.000372683
114,1520.68,0.28817,0.37719,0.23495,0.82896,0.99404,1,0.99474,0.99208,0.99404,1,0.99474,0.98351,0.21312,0.28895,0.18507,0.77402,0.000363252,0.000363252,0.000363252
115,1534.07,0.2741,0.34676,0.21924,0.83774,0.9941,1,0.99472,0.99033,0.9941,1,0.99472,0.98684,0.21496,0.28015,0.19047,0.77368,0.00035382,0.00035382,0.00035382
116,1547.66,0.26995,0.37024,0.2146,0.8345,0.99414,1,0.99466,0.99025,0.99414,1,0.99466,0.98315,0.20854,0.28005,0.18673,0.77422,0.000344389,0.000344389,0.000344389
117,1561.08,0.28118,0.36072,0.22465,0.83613,0.99416,1,0.99472,0.99118,0.99416,1,0.99472,0.98501,0.20535,0.28242,0.17962,0.77188,0.000334958,0.000334958,0.000334958
118,1574.48,0.26279,0.33131,0.21788,0.83145,0.9938,1,0.99476,0.99121,0.9938,1,0.99476,0.98349,0.20516,0.28505,0.17828,0.77125,0.000325526,0.000325526,0.000325526
119,1587.85,0.27097,0.34486,0.22403,0.82338,0.99381,1,0.99478,0.99172,0.99381,1,0.99478,0.98139,0.20473,0.28925,0.17672,0.7699,0.000316095,0.000316095,0.000316095
120,1601.44,0.25318,0.33271,0.20533,0.82289,0.9939,1,0.9948,0.99228,0.9939,1,0.9948,0.98173,0.20017,0.29007,0.1785,0.7699,0.000306663,0.000306663,0.000306663
121,1614.85,0.25918,0.33422,0.21066,0.82377,0.99392,1,0.99482,0.99102,0.99392,1,0.99482,0.98404,0.20015,0.2831,0.1789,0.77028,0.000297232,0.000297232,0.000297232
122,1628.24,0.26259,0.33884,0.20933,0.83563,0.99368,1,0.99489,0.9876,0.99368,1,0.99489,0.98371,0.2236,0.28196,0.18531,0.77396,0.000287801,0.000287801,0.000287801
123,1641.71,0.28067,0.35681,0.21935,0.82876,0.99301,1,0.99491,0.98991,0.99301,1,0.99491,0.98133,0.20279,0.28554,0.17978,0.77047,0.000278369,0.000278369,0.000278369
124,1655.15,0.26182,0.33644,0.20925,0.82984,0.99346,1,0.99483,0.99147,0.99346,1,0.99483,0.98358,0.20022,0.27804,0.17846,0.76942,0.000268938,0.000268938,0.000268938
125,1668.55,0.26888,0.33767,0.20663,0.82643,0.99371,1,0.99478,0.99036,0.99371,1,0.99478,0.98385,0.19964,0.28072,0.17513,0.76857,0.000259506,0.000259506,0.000259506
